sp_code,long_name,short_name,life_stage_size,average_percapita_biomass,comment,estimating_formula
sp_139,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.400000,3.32e-4,NA,EXP(LN(0.0033)+2.5077*LN(C140))
sp_140,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.500000,5.8e-4,NA,EXP(LN(0.0033)+2.5077*LN(C141))
sp_141,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.550000,7.37e-4,NA,EXP(LN(0.0033)+2.5077*LN(C142))
sp_142,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.600000,9.17e-4,NA,EXP(LN(0.0033)+2.5077*LN(C143))
sp_143,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.700000,0.001349,NA,EXP(LN(0.0033)+2.5077*LN(C144))
sp_144,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.800000,0.001886,NA,EXP(LN(0.0033)+2.5077*LN(C145))
sp_145,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),0.900000,0.002534,NA,EXP(LN(0.0033)+2.5077*LN(C146))
sp_146,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),1.500000,0.009122,NA,EXP(LN(0.0033)+2.5077*LN(C147))
sp_147,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),1.550000,0.009904,NA,EXP(LN(0.0033)+2.5077*LN(C148))
sp_148,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),1.600000,0.010725,NA,EXP(LN(0.0033)+2.5077*LN(C149))
sp_149,Leptagrion elongatum (C and D - the same species),Zygoptera sp D (orange),1.650000,0.011585,NA,EXP(LN(0.0033)+2.5077*LN(C150))
sp_150,Leptagrion elongatum (C and D - the same species),Zygoptera sp C (Harlequin),1.900000,0.016502,NA,EXP(LN(0.0033)+2.5077*LN(C151))
